"Continent ID","Continent","Country ID","Country","ISO 3","Section ID","Section","HS2 ID","HS2","HS4 ID","HS4","Trade Value"
"oc","Oceania","octuv","Tuvalu","tuv",1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10303,"Non-fillet Frozen Fish",10363126
"oc","Oceania","ocvut","Vanuatu","vut",1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10303,"Non-fillet Frozen Fish",113671717
"oc","Oceania","ocwlf","Wallis and Futuna","wlf",16,"Machines",1685,"Electrical machinery and equipment",168518,"Microphones and Headphones",692076
"oc","Oceania","ocwsm","Samoa","wsm",17,"Transportation",1787,"Vehicles and their parts",178710,"Armored vehicles",17568615
"sa","South America","saarg","Argentina","arg",4,"Foodstuffs",423,"Food industries, residues and wastes thereof; prepared animal fodder",42304,"Soybean Meal",7894605992
"sa","South America","sabol","Bolivia","bol",5,"Mineral Products",527,"Mineral fuels, mineral oils and products of their distillation",52711,"Petroleum Gas",2024809637
"sa","South America","sabra","Brazil","bra",2,"Vegetable Products",212,"Oil seeds and oleaginous fruits",21201,"Soybeans",28640124492
"sa","South America","sachl","Chile","chl",5,"Mineral Products",526,"Ores, slag and ash",52603,"Copper Ore",21399231030
"sa","South America","sacol","Colombia","col",5,"Mineral Products",527,"Mineral fuels, mineral oils and products of their distillation",52709,"Crude Petroleum",7461426736
"sa","South America","saecu","Ecuador","ecu",5,"Mineral Products",527,"Mineral fuels, mineral oils and products of their distillation",52709,"Crude Petroleum",4943599047
"sa","South America","saflk","Falkland Islands","flk",1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10307,"Molluscs",240959548
