"Year","Continent ID","Continent","Country ID","Country","ISO 3","Trade Value"
2020,"af","Africa","afago","Angola","ago",20934295556
2020,"af","Africa","afbdi","Burundi","bdi",218295783
2020,"af","Africa","afben","Benin","ben",1239924101
2020,"af","Africa","afbfa","Burkina Faso","bfa",8148173872
2020,"af","Africa","afbwa","Botswana","bwa",4578104350
2020,"af","Africa","afcaf","Central African Republic","caf",126984359
2020,"af","Africa","afciv","Cote d'Ivoire","civ",10542625405
2020,"af","Africa","afcmr","Cameroon","cmr",3691725320
2020,"af","Africa","afcod","Democratic Republic of the Congo","cod",19407022248
2020,"af","Africa","afcog","Republic of the Congo","cog",7767627955
2020,"af","Africa","afcom","Comoros","com",59260247
2020,"af","Africa","afcpv","Cape Verde","cpv",83395980
2020,"af","Africa","afdji","Djibouti","dji",159768595
2020,"af","Africa","afdza","Algeria","dza",18841729004
2020,"af","Africa","afegy","Egypt","egy",33570209454
2020,"af","Africa","aferi","Eritrea","eri",596123323
2020,"af","Africa","afeth","Ethiopia","eth",3504597257
2020,"af","Africa","afgab","Gabon","gab",4340085843
2020,"af","Africa","afgha","Ghana","gha",13149452489
2020,"af","Africa","afgin","Guinea","gin",11601622095
2020,"af","Africa","afgmb","Gambia","gmb",357174549
2020,"af","Africa","afgnb","Guinea-Bissau","gnb",143465882
2020,"af","Africa","afgnq","Equatorial Guinea","gnq",2646048659
2020,"af","Africa","afken","Kenya","ken",6524889375
2020,"af","Africa","aflbr","Liberia","lbr",936779342
2020,"af","Africa","aflby","Libya","lby",8400014752
2020,"af","Africa","aflso","Lesotho","lso",964709799
2020,"af","Africa","afmar","Morocco","mar",32177036158
2020,"af","Africa","afmdg","Madagascar","mdg",2470590645
2020,"af","Africa","afmli","Mali","mli",5054055652
2020,"af","Africa","afmoz","Mozambique","moz",5368566307
2020,"af","Africa","afmrt","Mauritania","mrt",3699412279
2020,"af","Africa","afmus","Mauritius","mus",2049720474
2020,"af","Africa","afmwi","Malawi","mwi",937120032
2020,"af","Africa","afnam","Namibia","nam",6216152459
2020,"af","Africa","afner","Niger","ner",2618345500
2020,"af","Africa","afnga","Nigeria","nga",42442466234
2020,"af","Africa","afrwa","Rwanda","rwa",902350102
2020,"af","Africa","afsdn","Sudan","sdn",4034006612
2020,"af","Africa","afsen","Senegal","sen",4053647404
2020,"af","Africa","afshn","Saint Helena","shn",11412076
2020,"af","Africa","afsle","Sierra Leone","sle",532315203
2020,"af","Africa","afsom","Somalia","som",276403533
2020,"af","Africa","afssd","South Sudan","ssd",850282848
2020,"af","Africa","afstp","Sao Tome and Principe","stp",23846814
2020,"af","Africa","afswz","Eswatini","swz",1934091834
2020,"af","Africa","afsyc","Seychelles","syc",1163529206
2020,"af","Africa","aftcd","Chad","tcd",1501844485
2020,"af","Africa","aftgo","Togo","tgo",1655403153
2020,"af","Africa","aftun","Tunisia","tun",13704423637
2020,"af","Africa","aftza","Tanzania","tza",5912507433
2020,"af","Africa","afuga","Uganda","uga",5872309824
2020,"af","Africa","afzaf","South Africa","zaf",101622302654
2020,"af","Africa","afzmb","Zambia","zmb",10963775303
2020,"af","Africa","afzwe","Zimbabwe","zwe",4337057128
2020,"an","Antarctica","anatf","French South Antarctic Territory","atf",24155327
2020,"as","Asia","asafg","Afghanistan","afg",1764637798
2020,"as","Asia","asare","United Arab Emirates","are",215715566741
2020,"as","Asia","asarm","Armenia","arm",3067443890
2020,"as","Asia","asaze","Azerbaijan","aze",13841885840
2020,"as","Asia","asbgd","Bangladesh","bgd",41168580447
2020,"as","Asia","asbhr","Bahrain","bhr",10065304642
2020,"as","Asia","asbrn","Brunei","brn",7129753485
2020,"as","Asia","asbtn","Bhutan","btn",182914631
2020,"as","Asia","ascck","Cocos (Keeling) Islands","cck",4777791
2020,"as","Asia","aschn","China","chn",2648940830486
2020,"as","Asia","ascxr","Christmas Island","cxr",15420288
2020,"as","Asia","ascyp","Cyprus","cyp",4280614047
2020,"as","Asia","asgeo","Georgia","geo",3922492884
2020,"as","Asia","ashkg","Hong Kong","hkg",126494022484
2020,"as","Asia","asidn","Indonesia","idn",177983626580
2020,"as","Asia","asind","India","ind",283904234730
2020,"as","Asia","asiot","British Indian Ocean Territory","iot",13296275
2020,"as","Asia","asirn","Iran","irn",10750124387
2020,"as","Asia","asirq","Iraq","irq",58335547852
2020,"as","Asia","asisr","Israel","isr",50849132109
2020,"as","Asia","asjor","Jordan","jor",9715901292
2020,"as","Asia","asjpn","Japan","jpn",623367909345
2020,"as","Asia","askaz","Kazakhstan","kaz",50858311139
2020,"as","Asia","askgz","Kyrgyzstan","kgz",2848316859
2020,"as","Asia","askhm","Cambodia","khm",28701903646
2020,"as","Asia","askor","South Korea","kor",531214005956
2020,"as","Asia","askwt","Kuwait","kwt",41629353635
2020,"as","Asia","aslao","Laos","lao",6248352463
2020,"as","Asia","aslbn","Lebanon","lbn",4237495548
2020,"as","Asia","aslka","Sri Lanka","lka",11302640387
2020,"as","Asia","asmac","Macau","mac",1352556488
2020,"as","Asia","asmdv","Maldives","mdv",214136424
2020,"as","Asia","asmmr","Myanmar","mmr",19408589783
2020,"as","Asia","asmng","Mongolia","mng",8470569372
2020,"as","Asia","asmys","Malaysia","mys",266336853170
2020,"as","Asia","asnpl","Nepal","npl",874324270
2020,"as","Asia","asomn","Oman","omn",30576856766
2020,"as","Asia","aspak","Pakistan","pak",25540033220
2020,"as","Asia","asphl","Philippines","phl",79514963456
2020,"as","Asia","asprk","North Korea","prk",142370079
2020,"as","Asia","aspse","Palestine","pse",1151413006
2020,"as","Asia","asqat","Qatar","qat",47187875861
2020,"as","Asia","assau","Saudi Arabia","sau",167110353679
2020,"as","Asia","assgp","Singapore","sgp",281498117843
2020,"as","Asia","assyr","Syria","syr",867838344
2020,"as","Asia","astha","Thailand","tha",243006711169
2020,"as","Asia","astjk","Tajikistan","tjk",1625497887
2020,"as","Asia","astkm","Turkmenistan","tkm",6942875717
2020,"as","Asia","astls","Timor-Leste","tls",97755815
2020,"as","Asia","astur","Turkey","tur",176532398843
2020,"as","Asia","asuzb","Uzbekistan","uzb",13909960882
2020,"as","Asia","asvnm","Vietnam","vnm",300274062821
2020,"as","Asia","asxxb","Chinese Taipei",,374449378805
2020,"as","Asia","asyem","Yemen","yem",1256441771
2020,"eu","Europe","eualb","Albania","alb",2615493354
2020,"eu","Europe","euand","Andorra","and",97958597
2020,"eu","Europe","euaut","Austria","aut",160262536555
2020,"eu","Europe","eubel","Belgium","bel",308883062807
2020,"eu","Europe","eubgr","Bulgaria","bgr",33164258830
